,episode,score,avg_score
421,421,17.0,14.9
422,422,16.0,14.87
423,423,17.0,14.9
424,424,14.0,14.89
425,425,14.0,14.88
426,426,15.0,14.96
427,427,18.0,14.95
428,428,16.0,14.99
429,429,21.0,15.04
430,430,9.0,14.95
431,431,18.0,15.0
432,432,18.0,15.18
433,433,19.0,15.13
434,434,13.0,15.09
435,435,11.0,14.99
436,436,14.0,15.01
437,437,17.0,15.04
438,438,17.0,15.1
439,439,18.0,15.1
440,440,19.0,15.11
441,441,16.0,15.15
442,442,14.0,15.15
443,443,14.0,15.17
444,444,16.0,15.15
445,445,13.0,15.11
446,446,16.0,15.1
447,447,18.0,15.14
448,448,17.0,15.17
449,449,18.0,15.24
450,450,21.0,15.25
451,451,11.0,15.23
452,452,16.0,15.26
453,453,18.0,15.35
454,454,13.0,15.32
455,455,21.0,15.41
456,456,14.0,15.4
457,457,18.0,15.41
458,458,20.0,15.52
459,459,15.0,15.46
460,460,16.0,15.44
461,461,20.0,15.49
462,462,17.0,15.5
463,463,13.0,15.45
464,464,15.0,15.39
465,465,14.0,15.36
466,466,12.0,15.3
467,467,14.0,15.28
468,468,12.0,15.23
469,469,13.0,15.31
470,470,19.0,15.36
471,471,18.0,15.44
472,472,13.0,15.37
473,473,11.0,15.31
474,474,17.0,15.31
475,475,18.0,15.39
476,476,20.0,15.44
477,477,19.0,15.49
478,478,17.0,15.49
479,479,15.0,15.48
480,480,13.0,15.46
481,481,21.0,15.49
482,482,13.0,15.44
483,483,13.0,15.36
484,484,17.0,15.43
485,485,9.0,15.38
486,486,19.0,15.4
487,487,15.0,15.42
488,488,15.0,15.4
489,489,19.0,15.43
490,490,17.0,15.42
491,491,15.0,15.44
492,492,20.0,15.51
493,493,13.0,15.44
494,494,16.0,15.43
495,495,12.0,15.42
496,496,15.0,15.4
497,497,12.0,15.46
498,498,18.0,15.45
499,499,13.0,15.44
500,500,19.0,15.47
501,501,11.0,15.44
502,502,15.0,15.44
503,503,18.0,15.48
504,504,12.0,15.44
505,505,16.0,15.5
506,506,16.0,15.51
507,507,17.0,15.53
508,508,17.0,15.58
509,509,10.0,15.59
510,510,16.0,15.65
511,511,21.0,15.67
512,512,12.0,15.65
513,513,14.0,15.66
514,514,11.0,15.62
515,515,10.0,15.64
516,516,20.0,15.73
