,episode,score,avg_score
549,549,18.0,14.87
550,550,12.0,14.88
551,551,19.0,14.88
552,552,14.0,14.91
553,553,21.0,14.91
554,554,5.0,14.81
555,555,15.0,14.8
556,556,17.0,14.82
557,557,17.0,14.85
558,558,18.0,15.03
559,559,18.0,14.95
560,560,5.0,14.87
561,561,3.0,14.67
562,562,15.0,14.68
563,563,13.0,14.64
564,564,16.0,14.64
565,565,11.0,14.59
566,566,17.0,14.55
567,567,21.0,14.61
568,568,4.0,14.47
569,569,19.0,14.51
570,570,3.0,14.43
571,571,19.0,14.47
572,572,14.0,14.46
573,573,13.0,14.43
574,574,14.0,14.42
575,575,12.0,14.43
576,576,20.0,14.59
577,577,15.0,14.62
578,578,22.0,14.65
579,579,10.0,14.63
580,580,12.0,14.61
581,581,18.0,14.61
582,582,15.0,14.62
583,583,15.0,14.57
584,584,17.0,14.57
585,585,19.0,14.72
586,586,8.0,14.69
587,587,14.0,14.61
588,588,3.0,14.52
589,589,19.0,14.59
590,590,12.0,14.56
591,591,0.0,14.37
592,592,11.0,14.32
593,593,16.0,14.33
594,594,2.0,14.21
595,595,15.0,14.22
596,596,17.0,14.21
597,597,19.0,14.27
598,598,4.0,14.17
599,599,17.0,14.18
600,600,15.0,14.12
601,601,19.0,14.11
602,602,18.0,14.16
603,603,12.0,14.15
604,604,19.0,14.14
605,605,21.0,14.17
606,606,12.0,14.16
607,607,19.0,14.17
608,608,14.0,14.18
609,609,15.0,14.19
610,610,19.0,14.18
611,611,10.0,14.15
612,612,13.0,14.16
613,613,18.0,14.18
614,614,15.0,14.22
615,615,25.0,14.33
616,616,8.0,14.28
617,617,18.0,14.35
618,618,14.0,14.42
619,619,10.0,14.38
620,620,18.0,14.4
621,621,20.0,14.52
622,622,17.0,14.47
623,623,13.0,14.45
624,624,19.0,14.44
625,625,13.0,14.48
626,626,15.0,14.48
627,627,12.0,14.46
628,628,8.0,14.39
629,629,9.0,14.29
630,630,19.0,14.31
631,631,16.0,14.33
632,632,15.0,14.28
633,633,13.0,14.21
634,634,14.0,14.35
635,635,11.0,14.32
636,636,18.0,14.36
637,637,23.0,14.59
638,638,12.0,14.51
