,episode,score,avg_score
661,661,20.0,14.87
662,662,7.0,14.81
663,663,19.0,14.86
664,664,12.0,14.82
665,665,11.0,14.8
666,666,18.0,14.82
667,667,12.0,14.76
668,668,17.0,14.74
669,669,15.0,14.76
670,670,12.0,14.76
671,671,14.0,14.76
672,672,11.0,14.73
673,673,16.0,14.71
674,674,19.0,14.73
675,675,19.0,14.76
676,676,15.0,14.74
677,677,16.0,14.71
678,678,18.0,14.76
679,679,15.0,14.68
680,680,15.0,14.62
681,681,24.0,14.64
682,682,13.0,14.61
683,683,13.0,14.53
684,684,16.0,14.57
685,685,15.0,14.57
686,686,14.0,14.51
687,687,1.0,14.41
688,688,13.0,14.48
689,689,15.0,14.51
690,690,15.0,14.6
691,691,15.0,14.56
692,692,17.0,14.55
693,693,16.0,14.56
694,694,9.0,14.53
695,695,7.0,14.53
696,696,18.0,14.62
697,697,16.0,14.66
698,698,14.0,14.63
699,699,21.0,14.73
700,700,18.0,14.8
701,701,14.0,14.84
702,702,14.0,14.87
703,703,17.0,14.87
704,704,12.0,14.83
705,705,8.0,14.73
706,706,16.0,14.74
707,707,24.0,14.82
708,708,15.0,14.79
709,709,14.0,14.82
710,710,16.0,14.83
711,711,17.0,14.81
712,712,21.0,14.87
713,713,17.0,14.84
714,714,18.0,14.81
715,715,4.0,14.72
716,716,16.0,14.67
717,717,13.0,14.62
718,718,10.0,14.59
719,719,10.0,14.52
720,720,26.0,14.77
721,721,22.0,14.9
722,722,12.0,15.02
723,723,14.0,14.98
724,724,16.0,14.93
725,725,9.0,14.87
726,726,16.0,14.91
727,727,14.0,14.92
728,728,20.0,14.96
729,729,13.0,14.98
730,730,21.0,15.01
731,731,14.0,14.96
732,732,10.0,14.89
733,733,11.0,14.84
734,734,19.0,14.84
735,735,12.0,14.81
736,736,16.0,14.83
737,737,18.0,14.87
738,738,13.0,14.84
739,739,17.0,14.84
740,740,20.0,14.84
741,741,14.0,14.83
742,742,12.0,14.77
743,743,14.0,14.84
744,744,14.0,14.85
745,745,17.0,14.88
746,746,12.0,14.91
747,747,17.0,14.94
748,748,17.0,14.99
749,749,26.0,15.1
750,750,16.0,15.09
751,751,10.0,15.02
752,752,6.0,15.08
753,753,16.0,15.06
754,754,12.0,15.05
755,755,15.0,15.07
756,756,21.0,15.07
757,757,16.0,15.03
758,758,19.0,15.07
759,759,20.0,15.12
760,760,16.0,15.1
761,761,16.0,15.06
762,762,19.0,15.18
763,763,18.0,15.17
764,764,19.0,15.24
765,765,14.0,15.27
766,766,16.0,15.25
767,767,17.0,15.3
768,768,16.0,15.29
769,769,17.0,15.31
770,770,18.0,15.37
771,771,21.0,15.44
772,772,11.0,15.44
773,773,11.0,15.39
774,774,15.0,15.35
775,775,14.0,15.3
776,776,14.0,15.29
777,777,13.0,15.26
778,778,15.0,15.23
779,779,14.0,15.22
780,780,22.0,15.29
781,781,20.0,15.25
782,782,19.0,15.31
783,783,11.0,15.29
784,784,25.0,15.38
785,785,22.0,15.45
786,786,13.0,15.44
787,787,19.0,15.62
788,788,13.0,15.62
789,789,17.0,15.64
790,790,11.0,15.6
791,791,16.0,15.61
792,792,14.0,15.58
793,793,15.0,15.57
794,794,19.0,15.67
795,795,14.0,15.74
796,796,13.0,15.69
797,797,6.0,15.59
798,798,14.0,15.59
799,799,5.0,15.43
800,800,4.0,15.29
801,801,3.0,15.18
802,802,12.0,15.16
803,803,17.0,15.16
804,804,14.0,15.18
805,805,16.0,15.26
806,806,12.0,15.22
807,807,14.0,15.12
808,808,16.0,15.13
809,809,19.0,15.18
810,810,20.0,15.22
811,811,18.0,15.23
812,812,16.0,15.18
813,813,15.0,15.16
814,814,19.0,15.17
815,815,7.0,15.2
816,816,11.0,15.15
817,817,13.0,15.15
818,818,19.0,15.24
819,819,23.0,15.37
820,820,8.0,15.19
821,821,10.0,15.07
822,822,8.0,15.03
823,823,18.0,15.07
824,824,21.0,15.12
825,825,14.0,15.17
826,826,13.0,15.14
827,827,14.0,15.14
828,828,6.0,15.0
829,829,14.0,15.01
830,830,16.0,14.96
831,831,18.0,15.0
832,832,13.0,15.03
833,833,4.0,14.96
834,834,19.0,14.96
835,835,14.0,14.98
836,836,7.0,14.89
837,837,13.0,14.84
838,838,15.0,14.86
839,839,18.0,14.87
840,840,11.0,14.78
841,841,18.0,14.82
842,842,13.0,14.83
843,843,18.0,14.87
844,844,18.0,14.91
845,845,0.0,14.74
846,846,13.0,14.75
847,847,14.0,14.72
848,848,4.0,14.59
849,849,14.0,14.47
850,850,14.0,14.45
851,851,4.0,14.39
852,852,17.0,14.5
853,853,11.0,14.45
854,854,15.0,14.48
855,855,17.0,14.5
856,856,12.0,14.41
857,857,21.0,14.46
858,858,11.0,14.38
859,859,19.0,14.37
860,860,10.0,14.31
861,861,17.0,14.32
862,862,13.0,14.26
863,863,7.0,14.15
864,864,18.0,14.14
865,865,22.0,14.22
866,866,13.0,14.19
867,867,13.0,14.15
868,868,18.0,14.17
869,869,7.0,14.07
870,870,2.0,13.91
871,871,16.0,13.86
872,872,18.0,13.93
873,873,13.0,13.95
874,874,15.0,13.95
875,875,14.0,13.95
876,876,15.0,13.96
877,877,16.0,13.99
878,878,12.0,13.96
879,879,17.0,13.99
880,880,21.0,13.98
881,881,16.0,13.94
882,882,16.0,13.91
883,883,14.0,13.94
884,884,15.0,13.84
885,885,20.0,13.82
886,886,11.0,13.8
887,887,18.0,13.79
888,888,22.0,13.88
889,889,17.0,13.88
890,890,18.0,13.95
891,891,3.0,13.82
892,892,14.0,13.82
893,893,15.0,13.82
894,894,17.0,13.8
895,895,18.0,13.84
896,896,17.0,13.88
897,897,18.0,14.0
898,898,16.0,14.02
899,899,16.0,14.13
900,900,17.0,14.26
901,901,16.0,14.39
902,902,4.0,14.31
903,903,18.0,14.32
904,904,21.0,14.39
905,905,21.0,14.44
906,906,4.0,14.36
907,907,16.0,14.38
908,908,20.0,14.42
909,909,15.0,14.38
910,910,3.0,14.21
911,911,12.0,14.15
912,912,18.0,14.17
913,913,21.0,14.23
914,914,13.0,14.17
915,915,13.0,14.23
916,916,13.0,14.25
917,917,19.0,14.31
918,918,17.0,14.29
919,919,14.0,14.2
920,920,21.0,14.33
921,921,10.0,14.33
922,922,20.0,14.45
923,923,19.0,14.46
924,924,15.0,14.4
925,925,18.0,14.44
926,926,13.0,14.44
927,927,17.0,14.47
928,928,16.0,14.57
929,929,12.0,14.55
930,930,17.0,14.56
931,931,18.0,14.56
932,932,13.0,14.56
933,933,16.0,14.68
934,934,3.0,14.52
935,935,12.0,14.5
936,936,15.0,14.58
937,937,14.0,14.59
938,938,15.0,14.59
939,939,11.0,14.52
940,940,22.0,14.63
941,941,16.0,14.61
942,942,19.0,14.67
